
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-04-10 15:17:33 ...................................................................................... ~ 1.30ms
  2026-04-10 15:18:04 ..................................................................................... ~ 10.02ms
  2026-04-10 15:18:04 ..................................................................................... ~ 12.10ms
  2026-04-10 15:18:54 / .................................................................................. ~ 504.06ms
  2026-04-10 15:18:55 /favicon.ico ......................................................................... ~ 1.61ms
  2026-04-10 15:24:43 / .................................................................................. ~ 505.98ms
  2026-04-10 15:29:58 /assets/brand/hero-workshop.svg ...................................................... ~ 1.48ms
  2026-04-10 15:29:58 / .................................................................................. ~ 514.25ms
  2026-04-10 15:30:27 / .................................................................................... ~ 0.50ms
  2026-04-10 15:30:27 /assets/brand/hero-workshop.svg ...................................................... ~ 0.24ms
  2026-04-10 15:30:27 /assets/brand/product-escritorio.svg ................................................. ~ 1.61ms
  2026-04-10 15:30:27 /assets/brand/product-rack.svg ....................................................... ~ 2.84ms
  2026-04-10 15:30:27 /assets/brand/product-placard.svg .................................................... ~ 4.11ms
  2026-04-10 15:30:27 /assets/brand/product-cocina.svg ..................................................... ~ 4.01ms
  2026-04-10 15:36:07 /productos ............................................................................... ~ 1s
  2026-04-10 15:36:07 /productos/escritorio-nativo ....................................................... ~ 515.86ms
  2026-04-10 15:37:40 / .................................................................................... ~ 0.43ms
  2026-04-10 15:37:41 /assets/brand/hero-workshop.svg ...................................................... ~ 0.97ms
  2026-04-10 15:37:46 /productos ........................................................................... ~ 0.58ms
  2026-04-10 15:37:50 /productos ......................................................................... ~ 503.90ms
  2026-04-10 15:37:56 / .................................................................................... ~ 0.42ms
  2026-04-10 15:37:56 /assets/brand/hero-workshop.svg ...................................................... ~ 0.21ms
  2026-04-10 15:38:00 /productos ......................................................................... ~ 501.58ms
  2026-04-10 15:38:03 / .................................................................................. ~ 501.53ms
  2026-04-10 15:38:03 /assets/brand/hero-workshop.svg ...................................................... ~ 0.20ms
  2026-04-10 15:38:05 / .................................................................................... ~ 0.46ms
  2026-04-10 15:38:06 /assets/brand/hero-workshop.svg ...................................................... ~ 0.98ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-04-10 15:42:17 /productos/escritorio-nativo ....................................................... ~ 501.51ms
  2026-04-10 15:42:32 /productos ......................................................................... ~ 503.52ms
  2026-04-10 15:42:32 /productos/escritorio-nativo ....................................................... ~ 510.51ms
  2026-04-10 15:42:32 /productos/escritorio-nativo ....................................................... ~ 511.84ms
  2026-04-10 15:43:25 / .................................................................................... ~ 0.51ms
  2026-04-10 15:43:26 /assets/brand/product-escritorio.svg ................................................. ~ 0.25ms
